BinBase name	ret.index	quant mz	BB id	PubChem	KEGG	InChI Key	KnownUnknown	Cut into 2 clusters
31688	720468	113	31688				Known	1
31599	821407	174	31599				Known	1
31408	424066	85	31408				Known	1
31357	897533	91	31357				Known	1
31223	525092	188	31223				Known	1
25321	256831	194	25321				Known	1
23001	295366	147	23001				Known	1
22735	329248	194	22735				Known	1
21802	626534	112	21802				Known	1
20903	483273	131	20903				Known	1
18002	479962	156	18002				Known	1
17651	535097	275	17651				Known	1
17144	596045	171	17144				Known	1
17068	265535	267	17068				Known	1
16809	679092	333	16809				Known	1
16788	865160	446	16788				Known	1
16561	245883	155	16561				Known	1
12444	546577	245	12444				Known	1
11841	387487	145	11841				Known	1
11481	295661	211	11481				Known	1
10176	843931	217	10176				Known	1
7490	466348	160	7490				Known	1
7444	305566	143	7444				Known	1
6646	584590	205	6646				Known	1
6324	470813	184	6324				Known	1
5990	301233	188	5990				Known	1
5900	408373	263	5900				Known	1
5471	250377	89	5471				Known	1
5121	424376	100	5121				Known	1
4945	1028191	227	4945				Known	1
4929	624368	156	4929				Known	1
4744	806269	186	4744				Known	1
4721	450619	173	4721				Known	1
4559	348297	240	4559				Known	1
4546	782748	217	4546				Known	1
4531	271256	262	4531				Known	1
4292	867404	129	4292				Known	1
3582	656328	188	3582				Known	1
3248	958431	204	3248				Known	1
3200	1105723	129	3200				Known	1
3029	605198	223	3029				Known	1
2900	569952	156	2900				Known	1
2439	542827	102	2439				Known	1
2061	250126	85	2061				Known	1
2001	832283	98	2001				Known	1
1981	422675	103	1981				Known	1
1925	260952	184	1925				Known	1
1912	855692	187	1912				Known	1
1875	592702	85	1875				Known	1
1862	219219	174	1862				Known	1
1772	765381	152	1772				Known	1
1706	801178	163	1706				Known	1
1064	594945	117	1064				Known	1
892	478262	155	892				Known	1
812	370598	120	812				Known	1
657	227730	173	657				Known	1
458	738853	113	458				Known	1
448	311994	231	448				Known	1
307	637461	174	307				Known	1
236	874932	129	236				Known	1
137	246162	204	137				Known	1
99	701191	204	99				Known	1
62	247887	85	62				Known	1
47	354110	85	47				Known	1
xylulose NIST	553450	173	31632	439205	C00312	LQXVFWRQNMEDEE-PYHARJCCSA-N	Unknown	1
xylonic acid isomer	590775	189	17400	10264	C02341	QXKAIJAYHKCRRA-UHFFFAOYSA-N	Unknown	1
valine	313502	144	3	6287	C00183	KZSNJWFQEVHDMF-BYPYZUCNSA-N	Unknown	1
urea	337648	189	16106	1176	C00086	XSQUKJJJFZCRTK-UHFFFAOYSA-N	Unknown	1
UDP-glucuronic acid	587601	217	7831	17473	C00167	HDYANYHVCAPMJV-LXQIFKJMSA-N	Unknown	1
tryptophan	780482	202	14	6305	C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	Unknown	1
tocopherol alpha-	1067809	237	100	638015	C00376	NCYCYZXNIZJOKI-OVSJKPMPSA-N	Unknown	1
thymidine	349402	170	87703	5789	C00214	IQFYYKKMVGJFEH-XLPZGREQSA-N	Unknown	1
threonic acid	497572	292	172	5460407	C01620	JPIJQSOTBSSVTP-STHAYSLISA-N	Unknown	1
sulfuric acid	282411	227	12266	1118	C00059	QAOWNCQODCNURD-UHFFFAOYSA-N	Unknown	1
succinic acid	370608	247	161	1110	C00042	KDYFGRWQOYBRFD-UHFFFAOYSA-N	Unknown	1
sorbitol	667922	217	162	5780	C00794	FBPFZTCFMRRESA-JGWLITMVSA-N	Unknown	1
salicylic acid	480699	267	3063	338	C00805	YGSDEFSMJLZEOE-UHFFFAOYSA-N	Unknown	1
ribose	553135	217	1662	5779	C00121	HMFHBZSHGGEWLO-SOOFDHNKSA-N	Unknown	1
quinic acid	632897	345	16691	6508	C00296	AAWZDTNXLSGCEK-LNVDRNJUSA-N	Unknown	1
pyrophosphate	547021	451	88522	1023	C00013	XPPKVPWEQAFLFU-UHFFFAOYSA-N	Unknown	1
p-tolyl glucuronide	847531	180	31571	154035		JPAUCQAJHLSMQW-XPORZQOISA-N	Unknown	1
propane-1,3-diol NIST	214380	177	282	10442	C02457	YPFDHNVEDLHUCE-UHFFFAOYSA-N	Unknown	1
pipecolinic acid	404121	156	2448	6931662		HXEACLLIILLPRG-RXMQYKEDSA-N	Unknown	1
phosphoethanolamine	604335	299	41988	1015	C00346	SUHOOTKUPISOBE-UHFFFAOYSA-N	Unknown	1
phenylethylamine	510327	174	2005	1001	C05332	BHHGXPLMPWCGHP-UHFFFAOYSA-N	Unknown	1
phenol	218927	151	31889	996	C00146	ISWSIDIOOBJBQZ-UHFFFAOYSA-N	Unknown	1
pentadecanoic acid	674647	117	1680	13849	C16537	WQEPLUUGTLDZJY-UHFFFAOYSA-N	Unknown	1
pantothenic acid	690887	291	31356	6613	C12276	GHOKWGTUZJEAQD-ZETCQYMHSA-N	Unknown	1
palmitic acid	713809	313	11	985	C00249	IPCSVZSSVZVIGE-UHFFFAOYSA-N	Unknown	1
oxalic acid	260513	190	4923	971	C00209	MUBZPKHOEPUJKR-UHFFFAOYSA-N	Unknown	1
ornithine	527113	142	1821	6262	C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N	Unknown	1
oleamide NIST	849710	144	20961	5283387	C19670	FATBGEAMYMYZAF-KTKRTIGZSA-N	Unknown	1
nicotinamide	471602	179	84542	936	C00153	DFPAKSUCGFBDDF-UHFFFAOYSA-N	Unknown	1
N-acetylglycine NIST	356109	174	97747	10972		OKJIRPAQVSHGFK-UHFFFAOYSA-N	Unknown	1
N-acetyl-D-tryptophan	859454	202	131996	439917	C03137	DZTHIGRZJZPRDV-GFCCVEGCSA-N	Unknown	1
myristic acid	634414	285	127	11005	C06424	TUNFSRHWOTWDNC-UHFFFAOYSA-N	Unknown	1
methionine sulfoxide	637588	128	1678	158980	C02989	QEFRNWWLZKMPFJ-YGVKFDHGSA-N	Unknown	1
methanolphosphate	289520	241	5393	13130		CAAULPUQFIIOTL-UHFFFAOYSA-N	Unknown	1
mannonic acid NIST	689527	333	84667	3246006	C00514	RGHNJXZEOKUKBD-MBMOQRBOSA-N	Unknown	1
malonic acid	305372	233	16918	867	C00383	OFOBLEOULBTSOW-UHFFFAOYSA-N	Unknown	1
lyxose	541086	217	85112	439240	C00476	SRBFZHDQGSBBOR-AGQMPKSLSA-N	Unknown	1
lysine	663483	156	12	5962	C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N	Unknown	1
linoleic acid	777414	150	165	5280450	C01595	OYHQOLUKZRVURQ-HZJYTTRNSA-N	Unknown	1
lauric acid	547906	117	49	3893	C02679	POULHZVOKOAJMA-UHFFFAOYSA-N	Unknown	1
