,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
207,2157,1630,2761,2422,1636,2111,2185,1568,2400,1977,1745,2128,1771,2036,2361,2031,2600,2094,2846,2166
208,2930,2441,4136,2213,3003,2250,2805,2287,2245,2568,2226,1923,3396,2192,3226,2881,1928,3593,2078,2690
209,2108,1942,2014,2106,1800,1842,1886,1321,1792,1531,1153,2223,2923,1475,1913,1930,1910,1720,1462,1705
210,1291,877,1210,1052,779,864,1130,643,875,1045,993,1259,1443,894,941,831,1357,931,1078,1255
211,831,1651,2998,1334,794,693,1501,782,1470,2093,610,1026,943,1809,949,528,1315,3088,1099,1457
212,3065,2968,3776,3117,3081,3114,3182,2838,3343,2804,1981,2807,2819,3018,3451,3189,3343,3190,3140,3620
213,1613,1052,2265,1491,1791,518,1033,515,535,889,1620,879,2841,867,1091,985,1051,2189,2164,2586
214,3420,3391,2408,2749,3951,2957,1669,2728,3284,3586,3462,2412,3463,3963,2988,1454,1531,5257,2808,1521
215,665,600,1773,587,529,472,1141,608,4860,715,530,751,836,1099,3078,1332,702,537,591,575
216,974,914,1120,774,799,945,548,951,1168,1424,1090,1092,1057,1057,1386,1077,1101,956,931,1036
217,935,1184,1216,1371,890,920,1231,1299,1381,1571,1243,1524,1383,1316,2117,1211,1959,1401,1201,1435
218,1428,1175,1143,854,1080,1013,1113,747,1593,1297,1074,1250,1534,831,1264,983,1201,1151,1702,979
219,10141,4203,3388,3078,2307,3026,6669,4487,2948,1516,23695,1961,2456,1599,971,1009,2214,3491,2928,5277
220,807,1610,1803,2120,827,1997,1604,1543,3821,1199,4113,2282,3737,1076,1005,2477,1404,2701,1297,1356
221,112,73,122,117,96,114,434,71,78,87,487,104,108,97,79,91,128,174,107,97
222,2299,2662,2503,2333,2303,2716,3272,2269,3997,2573,2538,2214,4986,2724,2564,2537,2234,2702,2582,1858
223,43117,51914,46386,30561,45640,38704,43804,49881,51485,51866,31619,53471,5116,62180,39789,51787,38539,50162,20023,28353
224,280,2355,990,381,549,289,527,2350,336,554,601,379,2768,1317,1276,1578,1890,1013,1714,657
225,755,864,872,1050,748,867,917,755,1355,1062,760,1074,995,842,845,656,1063,929,1114,849
226,17564,18004,20508,21555,22584,18023,21131,16446,17610,22382,17294,23324,20556,19977,25726,21951,22782,21445,20834,22469
227,3457,2386,4858,5044,3987,4805,4795,3404,4308,3502,3032,3689,4084,4377,3946,3439,4146,3825,3897,3582
228,5939,5406,7287,6628,4712,6951,6409,4150,6246,4934,5225,5172,5737,5510,7242,4938,6938,1629,6703,5245
229,1282,1387,1233,1400,1213,858,843,618,958,1354,1236,897,872,1160,559,879,1020,974,1361,863
230,12547,11662,14991,12098,10493,12102,13116,10805,9871,11441,8540,11942,11948,11765,13003,12665,14140,13138,10880,12092
231,8095,12358,13825,6618,11420,12274,2565,11983,5729,10796,11975,14339,3718,13869,10422,12161,10040,10993,10851,10374
232,1529,1286,1630,1367,939,1307,1682,1211,1322,692,1041,1274,1092,1299,1378,1259,1315,1356,1473,1316
233,880,1627,1433,883,781,1846,2241,1243,1289,526,939,1603,1051,1045,858,792,1587,800,2714,789
234,1074,1113,790,1294,1120,1191,1614,1073,1394,1409,1100,1005,832,883,1009,1000,1434,474,1441,1286
235,19108,9243,16813,12885,11108,2499,14721,2269,12940,15829,7872,13949,11361,2783,15526,3000,18817,19931,22969,16394
236,1502,1105,1751,1254,727,993,1635,725,1657,1245,913,409,1418,1457,1125,1201,1248,1138,1369,1358
237,190,140,191,108,221,113,267,218,159,165,169,130,305,160,242,258,180,175,215,178
238,3568,1556,5560,4319,3158,4863,4532,4191,4982,4587,4037,4213,5004,4369,4221,9614,3431,5786,4493,5782
