"","BinBase name","ret.index","quant mz","BB id","PubChem","KEGG","InChI Key"
"262","110183","789271","160","110183","","",""
"263","110182","1076844","202","110182","","",""
"264","110170","995815","218","110170","","",""
"265","110013","823823","117","110013","","",""
"266","110008","983135","174","110008","","",""
"267","109625","461552","249","109625","","",""
"268","109397","687079","204","109397","","",""
"269","109386","542775","204","109386","","",""
"270","109383","882471","210","109383","","",""
"271","107960","826841","158","107960","","",""
"272","107890","445793","158","107890","","",""
"273","107882","544491","193","107882","","",""
"274","107466","432173","114","107466","","",""
"275","106936","238992","244","106936","","",""
"276","106900","430798","172","106900","","",""
"277","106629","967520","112","106629","","",""
"278","106482","772969","128","106482","","",""
"279","106344","952641","201","106344","","",""
"280","105379","557517","109","105379","","",""
"281","104362","1130737","195","104362","","",""
"282","103886","228732","165","103886","","",""
"283","103837","548646","258","103837","","",""
"284","103102","373630","117","103102","","",""
"285","102733","929900","271","102733","","",""
"286","102624","292984","171","102624","","",""
"287","102601","452509","254","102601","","",""
"288","101299","214650","177","101299","","",""
"289","100912","344452","174","100912","","",""
"290","100876","822996","217","100876","","",""
"291","99868","782065","113","99868","","",""
"292","98027","794158","217","98027","","",""
"293","97455","840764","93","97455","","",""
"294","95440","952240","132","95440","","",""
"295","95438","859517","98","95438","","",""
"296","91421","280725","86","91421","","",""
"297","87808","354436","228","87808","","",""
"298","87713","742967","129","87713","","",""
"299","87710","764072","98","87710","","",""
"300","87284","776238","217","87284","","",""
"301","85199","199716","117","85199","","",""
"302","84682","508958","268","84682","","",""
"303","84390","536892","98","84390","","",""
"304","84209","864360","174","84209","","",""
"305","84116","517387","103","84116","","",""
"306","84088","475100","116","84088","","",""
"307","66261","760411","174","66261","","",""
"308","66256","197752","102","66256","","",""
"309","64546","699999","204","64546","","",""
"310","54642","1030153","243","54642","","",""
"311","53748","606251","91","53748","","",""
"312","50367","1030810","357","50367","","",""
"313","49426","477636","99","49426","","",""
"314","48419","225634","85","48419","","",""
"315","46346","699862","117","46346","","",""
"316","46292","296272","211","46292","","",""
"317","46131","703272","204","46131","","",""
"318","46128","841283","159","46128","","",""
"319","45378","281781","140","45378","","",""
"320","43100","414838","88","43100","","",""
"321","42003","714710","179","42003","","",""
"322","41989","323785","248","41989","","",""
"323","41811","568579","197","41811","","",""
"324","41683","579857","205","41683","","",""
"325","41682","605091","144","41682","","",""
"326","34126","200032","102","34126","","",""
"327","34110","301301","117","34110","","",""
"328","34089","604262","117","34089","","",""
"329","34085","723290","117","34085","","",""
"330","34028","612737","86","34028","","",""
"331","33997","261405","182","33997","","",""
"332","33401","978413","277","33401","","",""
"333","33006","455951","259","33006","","",""
"334","32528","573554","166","32528","","",""
"335","32247","253754","245","32247","","",""
"336","31960","485306","129","31960","","",""
"337","31756","671388","166","31756","","",""
"338","31695","630679","292","31695","","",""
"339","31688","720468","113","31688","","",""
"340","31664","544826","205","31664","","",""
"341","31599","821407","174","31599","","",""
"342","31556","913814","246","31556","","",""
"343","31408","424066","85","31408","","",""
"344","31359","457416","85","31359","","",""
"345","31357","897533","91","31357","","",""
"346","31285","372067","85","31285","","",""
"347","31223","525092","188","31223","","",""
"348","31169","937734","129","31169","","",""
"349","25321","256831","194","25321","","",""
"350","23635","308124","85","23635","","",""
"351","23001","295366","147","23001","","",""
"352","22885","770939","95","22885","","",""
"353","22735","329248","194","22735","","",""
"354","22444","331691","229","22444","","",""
"355","21802","626534","112","21802","","",""
"356","21683","524126","211","21683","","",""
"357","20903","483273","131","20903","","",""
"358","18082","252134","85","18082","","",""
"359","18002","479962","156","18002","","",""
"360","17664","227179","173","17664","","",""
"361","17651","535097","275","17651","","",""
"362","17463","694324","204","17463","","",""
"363","17144","596045","171","17144","","",""
"364","17076","662249","204","17076","","",""
"365","17068","265535","267","17068","","",""
"366","16947","481943","170","16947","","",""
"367","16809","679092","333","16809","","",""
"368","16794","628617","157","16794","","",""
"369","16788","865160","446","16788","","",""
"370","16572","292289","209","16572","","",""
"371","16561","245883","155","16561","","",""
"372","14736","693311","159","14736","","",""
"373","12444","546577","245","12444","","",""
"374","12087","922490","129","12087","","",""
"375","11841","387487","145","11841","","",""
"376","11731","807716","204","11731","","",""
"377","11481","295661","211","11481","","",""
"378","11353","911271","259","11353","","",""
"379","10176","843931","217","10176","","",""
"380","8270","811465","246","8270","","",""
"381","7490","466348","160","7490","","",""
"382","7458","395250","160","7458","","",""
"383","7444","305566","143","7444","","",""
"384","7053","837151","217","7053","","",""
"385","6646","584590","205","6646","","",""
"386","6376","433059","218","6376","","",""
"387","6324","470813","184","6324","","",""
"388","6050","200668","110","6050","","",""
"389","5990","301233","188","5990","","",""
"390","5930","733027","202","5930","","",""
"391","5900","408373","263","5900","","",""
"392","5691","302228","89","5691","","",""
"393","5471","250377","89","5471","","",""
"394","5346","494094","85","5346","","",""
"395","5121","424376","100","5121","","",""
"396","5085","799884","98","5085","","",""
"397","4945","1028191","227","4945","","",""
"398","4937","1200184","316","4937","","",""
"399","4929","624368","156","4929","","",""
"400","4746","548258","275","4746","","",""
"401","4744","806269","186","4744","","",""
"402","4723","455671","173","4723","","",""
"403","4721","450619","173","4721","","",""
"404","4603","590717","116","4603","","",""
"405","4559","348297","240","4559","","",""
"406","4550","447676","350","4550","","",""
"407","4546","782748","217","4546","","",""
"408","4543","642404","157","4543","","",""
"409","4531","271256","262","4531","","",""
"410","4529","629429","245","4529","","",""
"411","4292","867404","129","4292","","",""
"412","4219","846127","98","4219","","",""
"413","3582","656328","188","3582","","",""
"414","3465","564741","129","3465","","",""
"415","3248","958431","204","3248","","",""
"416","3228","295060","184","3228","","",""
"417","3200","1105723","129","3200","","",""
"418","3143","459926","155","3143","","",""
"419","3029","605198","223","3029","","",""
"420","2936","380544","85","2936","","",""
"421","2900","569952","156","2900","","",""
"422","2476","292320","145","2476","","",""
"423","2439","542827","102","2439","","",""
"424","2438","492298","245","2438","","",""
