			mx sample	304424	304423	304422	304421	304420	304419	304404	304405	304406	304407	304408	304409	304410	304412	304413	304414	304415	304416	304417	304418
			label	2.16.2016_001	3.01.2016_002	3.15.2016_003	3.29.2016_004	4.12.2016_005	4.26.2016_006	5.10.2016_007	5.24.2016_008	6.07.2016_009	6.21.2016_010	7.05.2016_011	7.19.2016_012	8.02.2016_013	8.16.2016_014	8.30.2016_015	9.13.2016_016	9.27.2016_017	10.18.2016_018	11.01.2016_019	11.29.2016_020
			species	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
			organ	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum	serum
			treatment	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 1 - Pre-meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation	 2 - Meditation
PubChem	KEGG	InChI Key	label	170104aOEsa17_1	170104aOEsa13_1	170104aOEsa03_1	170104aOEsa06_1	170104aOEsa15_1	170104aOEsa10_1	170104aOEsa16_1	170104aOEsa05_1	170104aOEsa19_1	170104aOEsa12_1	170104aOEsa04_1	170104aOEsa09_1	170104aOEsa08_1	170104aOEsa14_1	170104aOEsa07_1	170104aOEsa02_1	170104aOEsa20_1	170104aOEsa11_1	170104aOEsa18_1	170104aOEsa01_1
444972	C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N	fumaric acid	5506	3660	3805	2331	4872	2715	1267	2767	4343	3605	1472	3095	2802	4523	3182	3003	4930	4275	3678	3080
439650	C02095	SHZGCJCMOBCMKK-FPRJBGLDSA-N	fucose	402	877	305	678	583	729	826	962	641	158	499	370	721	789	814	580	620	243	283	420
5325915	C02341	SGMJBNSHAZVGMC-PWNYCUMCSA-N	erythronic acid lactone	1204	1211	1334	1234	1673	1157	749	1007	1282	1058	1278	1099	1387	1736	1100	617	725	1681	1409	1187
222285	C00503	UNXHWFMMPAWVPI-ZXZARUISSA-N	erythritol	4846	4698	5188	4998	4034	3999	6092	4863	4636	4601	4924	4235	4867	5119	4559	4462	6575	4947	5977	4625
8193	C02277	LQZZUXJYWNFBMV-UHFFFAOYSA-N	dodecanol	919	760	688	873	664	565	927	677	807	883	737	607	537	898	852	684	1005	887	872	839
440667	C05422	SBJKKFFYIZUCET-JLAZNSOCSA-N	dehydroascorbic acid	7881	6791	4714	6838	7596	6338	5338	7117	8859	8045	10348	8362	10939	6456	5564	5311	4696	9929	5581	9407
94391	C12078	NFWKVWVWBFBAOV-MISYRCLQSA-N	dehydroabietic acid	1320	1076	1392	1531	931	955	1251	704	1129	781	1069	872	1211	847	1288	724	858	1254	803	664
595	C01420	LEVWYRKDKASIDU-UHFFFAOYSA-N	cystine	37615	34082	24865	44701	27639	37857	38007	40809	36438	41174	30101	49851	44808	35488	43564	30120	44310	19324	27322	18103
5862	C00097	XUJNEKJLAYXESH-REOHCLBHSA-N	cysteine	2130	6856	4850	3121	4103	3734	3568	4508	4675	4997	2943	3606	1553	5405	1367	4268	4591	5457	1870	3104
588	C00791	DDRJAANPRJIHGJ-UHFFFAOYSA-N	creatinine	9096	8877	7908	8658	8329	6897	10424	6468	7666	9887	9638	8617	10489	11323	3623	8298	8679	7292	6775	8533
9989541		ZHMWOVGZCINIHW-SPHYCDKFSA-N	conduritol-beta-epoxide	6043	416	399	328	347	386	2319	661	583	469	7924	415	553	420	303	240	896	1729	582	906
9750	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N	citrulline	1158	1162	1006	1138	976	1216	998	1187	1699	1264	979	1283	1346	1202	1213	1411	1805	570	1176	1179
311	C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N	citric acid	117711	82303	65875	46419	59838	44835	78186	60028	77919	65481	102429	61019	88384	69690	77063	55513	78129	72963	56482	46075
5997	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N	cholesterol	366814	324373	485277	399523	301293	291935	359226	353349	365670	324521	351592	428418	499777	307504	463609	354129	348340	333821	392152	493284
379	C06423	WWZKQHOCKIZLMA-UHFFFAOYSA-N	caprylic acid	5146	3914	5726	3964	4159	3034	4812	2528	4693	4918	3632	4916	3988	3082	4258	3716	6296	3183	5546	5012
2969	C01571	GHVNFZFCNZKVNT-UHFFFAOYSA-N	capric acid	3128	2594	2863	2060	2332	1573	2174	1656	3084	2501	1884	1734	2487	2670	2002	2113	3473	3132	1533	2690
239	C00099	UCMIRNVEIXFBKS-UHFFFAOYSA-N	beta-alanine	1972	1652	1104	1041	1070	1176	936	764	1691	1574	1139	1442	708	1411	1199	884	1147	1645	1223	880
2879	C01468	WVDDGKGOMKODPV-UHFFFAOYSA-N	benzylalcohol	2890	1922	2829	4778	2114	5565	3141	1869	3887	4221	2414	1913	1274	3493	3040	3597	2752	3622	2685	4189
243	C00180	WPYMKLBDIGXBTP-UHFFFAOYSA-N	benzoic acid	94884	73971	94259	69456	67932	70689	88835	61861	85985	70668	62289	67786	65756	79413	76197	70203	92646	69578	87456	73510
5960	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	aspartic acid	8921	8749	9793	9549	7000	5181	6562	4727	6378	7240	15476	5988	4952	7186	3775	5049	4263	9153	9471	9276
